HOT PICKS,Code Number,Hardcover/Paperback,Name of book,Author,Genre,Goodreads Link,Publisher,Year
,B774LF,Paperback,Circles of Deceit,Nina Bawden,Literary Fiction,https://www.goodreads.com/book/show/2851146-circles-of-deceit,,
,B776LT,Paperback,Intermission,Nirupama Subramanian,Light Fiction,https://www.goodreads.com/book/show/15272108-intermission?ac=1&from_search=true,,
,B777LT,Paperback,"Just Married, Please Excuse",Yashodhara Lal,Light Fiction,https://www.goodreads.com/book/show/13623618-just-married-please-excuse?ac=1&from_search=true,,
,B778LT,Paperback,Chocolate Shoes and Wedding Blues,Trisha Ashley,Light Fiction,https://www.goodreads.com/book/show/12852651-chocolate-shoes-and-wedding-blues?ac=1&from_search=true,,
,B779LT,Paperback,"The Good, The Bad and the Dumped",Jenny Colgan,Light Fiction,https://www.goodreads.com/book/show/21088736-the-good-the-bad-and-the-dumped,,
,B780LF,Paperback,The Wasted Vigil,Nadeem Aslam,Literary Fiction,https://www.goodreads.com/book/show/3417673-the-wasted-vigil?ac=1&from_search=true,,
,B781NF,Paperback,Beyond the Border : An Indian In Pakistan,Yoginder Sikand,Non - Fiction / Travel,https://www.goodreads.com/book/show/12261217-beyond-the-border?ac=1&from_search=true,,
,B782LT,Paperback,It's A Kind Of Magic,Carole Matthews,Light Fiction,https://www.goodreads.com/book/show/2549614.It_s_a_Kind_of_Magic?from_search=true,,
,B785LT,Paperback,Twenties Girl,Sophie Kinsella,Light Fiction,https://www.goodreads.com/book/show/6063187-twenties-girl?ac=1&from_search=true,,
,B612C3,Paperback,The Puffin Book of Funny Stories,Amit Vachharajani,Children's (9-12 yrs),https://www.goodreads.com/book/show/2801782-the-puffin-book-of-funny-stories,,
,B786C1,Hardcover,What Do People Do All Day?,Richard Scarry,Children's (3-5 yrs),https://www.goodreads.com/book/show/313375.What_Do_People_Do_All_Day_?ac=1&from_search=true,,
,B787C1,Hardcover,HarperCollins Treasury of Picture Book Classics: A Child's First Collection,"Katherine Brown Tegen (Editor), Various",Children's (3-5 yrs),https://www.goodreads.com/book/show/1157711.HarperCollins_Treasury_of_Picture_Book_Classics?ac=1&from_search=true,,
