HOT PICKS,Code Number,Hardcover/Paperback,Name of book,Author,Genre,Goodreads Link,Publisher,Year
,T312C1,Hardcover,Barbie : The Princess and the Popstar,,Children's (3-5 yrs),https://www.goodreads.com/book/show/13330717-barbie,,
,T314C3,Paperback,The Dragonet Prophecy (Wings of Fire #1),Tui T Sutherland,Children's (9-12 yrs),https://www.goodreads.com/book/show/13228487-the-dragonet-prophecy?ac=1&from_search=true,,
,T315C2,Paperback,100 Brilliant Poems For Children,Paul Cookson,Children's (6-8 yrs),https://www.goodreads.com/book/show/30167636-100-brilliant-poems-for-children?ac=1&from_search=true,,
,T316C2,Paperback,Grimm's Fairy Tales,"Jacob Grimm, Wilhelm Grimm",Children's (Classics),https://www.goodreads.com/book/show/19351490-grimm-s-fairy-tales?from_search=true,,
,T317C3,Paperback,Diary of a Wimpy Kid (Diary of a Wimpy Kid #1),Jeff Kinney,Children's (9-12 yrs),https://www.goodreads.com/book/show/389627.Diary_of_a_Wimpy_Kid?from_search=true,,
,T318C3,Paperback,Rodrick Rules (Diary of a Wimpy Kid #2),Jeff Kinney,Children's (9-12 yrs),https://www.goodreads.com/book/show/1809465.Rodrick_Rules,,
,T319C3,Paperback,The Last Straw (Diary of a Wimpy Kid #3),Jeff Kinney,Children's (9-12 yrs),https://www.goodreads.com/book/show/3293821-the-last-straw,,
,T320C3,Paperback,Dog Days (Diary of a Wimpy Kid #4),Jeff Kinney,Children's (9-12 yrs),https://www.goodreads.com/book/show/6578293-dog-days,,
,T321C3,Paperback,The Ugly Truth (Diary of a Wimpy Kid #5),Jeff Kinney,Children's (9-12 yrs),https://www.goodreads.com/book/show/7823678-the-ugly-truth,,
,T322C3,Paperback,Cabin Fever (Diary of a Wimpy Kid #6),Jeff Kinney,Children's (9-12 yrs),https://www.goodreads.com/book/show/11254250-cabin-fever,,
,T323C3,Paperback,The Third Wheel (Diary of a Wimpy Kid #7),Jeff Kinney,Children's (9-12 yrs),https://www.goodreads.com/book/show/13563669-the-third-wheel,,
,T324C3,Paperback,Hard Luck (Diary of a Wimpy Kid #8),Jeff Kinney,Children's (9-12 yrs),https://www.goodreads.com/book/show/17733898-hard-luck,,
,T325C3,Hardcover,The Long Haul (Diary of a Wimpy Kid #9),Jeff Kinney,Children's (9-12 yrs),https://www.goodreads.com/book/show/21535019-the-long-haul,,
,T326C3,Hardcover,Old School (Diary of a Wimpy Kid #10),Jeff Kinney,Children's (9-12 yrs),https://www.goodreads.com/book/show/25222064-old-school,,
,T327C3,Hardcover,Double Down (Diary of a Wimpy Kid #11),Jeff Kinney,Children's (9-12 yrs),https://www.goodreads.com/book/show/30051627-double-down,,
,T328C3,Hardcover,The Wimpy Kid Movie Diary (Diary of a Wimpy Kid),Jeff Kinney,Children's (9-12 yrs),https://www.goodreads.com/book/show/7528717-the-wimpy-kid-movie-diary,,
,T329C3,Hardcover,The Getaway (Diary of a Wimpy Kid #12),Jeff Kinney,Children's (9-12 yrs),https://www.goodreads.com/book/show/34735291-the-getaway?from_search=true,,
,T330CO,Paperback,Tintin in the Land of the Soviets (Tintin #1),Hergè,Comics,https://www.goodreads.com/book/show/87424.Tintin_in_the_Land_of_the_Soviets?ac=1&from_search=true,,
,T331CO,Paperback,Tintin in America (Tintin #3),Hergè,Comics,https://www.goodreads.com/book/show/790192.Tintin_in_America,,
,T332CO,Paperback,The Blue Lotus (Tintin #5),Hergè,Comics,https://www.goodreads.com/book/show/89313.The_Blue_Lotus,,
,T333CO,Hardcover,Tintin in the Congo (Tintin #2),Hergè,Comics,https://www.goodreads.com/book/show/235140.Tintin_in_the_Congo,,
,T334CO,Paperback,The Broken Ear (Tintin #6),Hergè,Comics,https://www.goodreads.com/book/show/1169556.The_Broken_Ear,,
,T335CO,Paperback,The Crab with the Golden Claws (Tintin #9),Hergè,Comics,https://www.goodreads.com/book/show/165555.The_Crab_with_the_Golden_Claws,,
,T336CO,Hardcover,Red Rackham's Treasure (Tintin #12),Hergè,Comics,https://www.goodreads.com/book/show/146109.Red_Rackham_s_Treasure?ac=1&from_search=true,,
,T337CO,Paperback,The Calculus Affair (Tintin #18),Hergè,Comics,https://www.goodreads.com/book/show/6443100-the-calculus-affair?ac=1&from_search=true,,
,T338CO,Paperback,The Castafiore Emerald (Tintin #21),Hergè,Comics,https://www.goodreads.com/book/show/146106.The_Castafiore_Emerald?ac=1&from_search=true,,
,T339C1,Hardcover,Cinnamon,"Neil Gaiman, Divya Srinivasan (Illustrator)",Children's (3-5 yrs),https://www.goodreads.com/book/show/13389825-cinnamon?ac=1&from_search=true,,
,T340C3,Hardcover,The Sleeper and the Spindle,"Neil Gaiman, Chris Riddell (Illustrator)",Children's (9-12 yrs),https://www.goodreads.com/book/show/23301545-the-sleeper-and-the-spindle?ac=1&from_search=true,,
,T341C3,Hardcover,Odd and the Frost Giants,"Neil Gaiman, Chris Riddell (Illustrator)",Children's (9-12 yrs),https://www.goodreads.com/book/show/28358030-odd-and-the-frost-giants,,
,T342C2,Paperback,"The Everything Kids' Science Experiments Book: Boil Ice, Float Water, Measure Gravity-Challenge the World Around You!",Tom Robinson,Children's (Non-Fiction),https://www.goodreads.com/book/show/104889.The_Everything_Kids_Science_Experiments_Book?ac=1&from_search=true,,
,T344FN,Hardcover,The Room on the Roof,Ruskin Bond,Fiction,https://www.goodreads.com/book/show/29615298-the-room-on-the-roof,,
,T345C2,Hardcover,Barbie the Princess and the Popstar a Magical Story,Parragon Publishing,Children's (6-8 yrs),https://www.goodreads.com/book/show/25944676-barbie-the-princess-and-the-popstar-a-magical-story,,
,T346C2,Hardcover,Barbie: I can be Zoo Vet the Magical Story,Parragon Publishing,Children's (6-8 yrs),https://www.goodreads.com/book/show/33125765-barbie?ac=1&from_search=true,,
,T347C2,Hardcover,Hansel and Gretel,"Neil Gaiman, Lorenzo Mattotti (Illustrator)",Children's (6-8 yrs),https://www.goodreads.com/book/show/23494321-hansel-and-gretel,,
,T348C3,Hardcover,Ripley's Believe it or Not! Enter if you Dare!,Ripley Publishing,Children's (Non-Fiction),https://www.goodreads.com/book/show/8144576-ripley-s-believe-it-or-not-enter-if-you-dare?from_search=true,,
,T349C3,Hardcover,Encyclopedia of Science and Technology,Dreamland Publications,Children's (Non-Fiction),https://www.goodreads.com/book/show/36478813-encyclopedia-of-science-and-technology?ac=1&from_search=true,,
,T350C2,Paperback,Know About Science : Discoveries,Dreamland Publications,Children's (Non-Fiction),,,
,T351C2,Hardcover,Tell Me How Book 1,Bluebird Books,Children's (Non-Fiction),,,
,T352C3,Paperback,Stories for Boys,MK Publications,Children's (9-12 yrs),,,
,T353C2,Paperback,The Jungle Book,Rudyard Kipling,Children's (Classics),https://www.goodreads.com/book/show/77270.The_Jungle_Book,,
,T354FY,Paperback,Harry Potter and the Philosopher's Stone (Harry Potter #1),J. K. Rowling,Fantasy,https://www.goodreads.com/book/show/22841994-harry-potter-and-the-philosopher-s-stone,,
,T355FY,Paperback,Harry Potter and the Half-Blood Prince (Harry Potter #6),J. K. Rowling,Fantasy,https://www.goodreads.com/book/show/22844202-harry-potter-and-the-half-blood-prince,,
,T356FY,Paperback,Harry Potter and the Deathly Hallows (Harry Potter #7),J. K. Rowling,Fantasy,https://www.goodreads.com/book/show/22844208-harry-potter-and-the-deathly-hallows,,
,Z355BB,Hardcover,"Pooh and Friends, First Concepts: The Alphabet and Counting, Too!","A.A. Milne (Original author), Walt Disney Company",Children's (Board Books),https://www.goodreads.com/book/show/6343647-pooh-and-friends-abcs-and-123s?from_search=true,,
,Z356BB,Hardcover,Baby's Book of Rhymes,"Felicity Brooks, Guiliana Gregori (Illustrator)",Children's (Board Books),https://www.goodreads.com/book/show/11645711-baby-s-book-of-rhymes?ac=1&from_search=true,,
,Z357BB,Hardcover,B Is for Bear,Roger Priddy,Children's (Board Books),https://www.goodreads.com/book/show/758913.B_Is_for_Bear?ac=1&from_search=true,,
,Z358BB,Hardcover,Jemima Puddle-duck Board Book,Beatrix Potter,Children's (Board Books),https://www.goodreads.com/book/show/11909623-jemima-puddle-duck-board-book?from_search=true,,
,Z359BB,Hardcover,Noisy Animals,"Igloo Books Ltd, Joanne Parry (Illustrator)",Children's (Board Books),https://www.goodreads.com/book/show/27211175-noisy-animals?from_search=true,,
,Z360BB,Hardcover,ToddWorld: It's a Colorful World!,Todd Parr,Children's (Board Books),https://www.goodreads.com/book/show/120683.ToddWorld?ac=1&from_search=true,,
,Z361BB,Hardcover,"Hop, Skip and Jump!","Lia Foa, Katie Saunders",Children's (Board Books),https://www.goodreads.com/book/show/11184718-hop-skip-and-jump?ac=1&from_search=true,,
,Z362BB,Hardcover,Flip-A-Face Series: Who Is Sleeping? Who is Awake?,SAMi (Illustrations),Children's (Board Books),https://www.goodreads.com/book/show/7640337-flip-a-face-series?ac=1&from_search=true,,
,Z363BB,Hardcover,Excuse Me! A Story About Interrupting,Parragon Publishing,Children's (Board Books),https://www.goodreads.com/book/show/7853045-excuse-me-a-story-about-interrupting,,
,Z364BB,Hardcover,"Twinkle, Twinkle, Little Star: A Bedtime Story","Scott Emmons, Karla Taylor (Illustrator)",Children's (Board Books),https://www.goodreads.com/book/show/20135337-hallmark-twinkle-twinkle-little-star,,
,Z365BB,Hardcover,Three Little Kittens (3D Nursery Board Books),Trace Moroney,Children's (Board Books),https://www.goodreads.com/book/show/7797183-three-little-kittens?from_search=true,,
,Z366BB,Hardcover,Sleeping Beauty (First Fairytales Look and Say),Sam Taplin,Children's (Board Books),,,
,Z367BB,Hardcover,123 Sea! (Early Bird Board Books),Julie Fletcher,Children's (Board Books),https://www.goodreads.com/book/show/5059492-123-sea?from_search=true,,
,Z368BB,Hardcover,"Cuddle, Cuddle, Little Friends",Julie Fletcher,Children's (Board Books),https://www.goodreads.com/book/show/14900298-cuddle-cuddle-little-friends-julie-fletcher-anna-lubecka?from_search=true,,
,Z369BB,Hardcover,Who is Huckle? (Busytown Mysteries Huckle-Shaped Board Book),Natalie Shaw,Children's (Board Books),https://www.goodreads.com/book/show/7775740-who-is-huckle?ac=1&from_search=true,,
,Z370BB,Hardcover,No No Yes Yes,Leslie Patricelli,Children's (Board Books),https://www.goodreads.com/book/show/2453640.No_No_Yes_Yes?ac=1&from_search=true,,
,Z371BB,Hardcover,Remember the Magic Word,Parragon Publishing,Children's (Board Books),https://www.goodreads.com/book/show/28479306-remember-the-magic-word?ac=1&from_search=true,,
,Z372BB,Hardcover,Aliens love Underpants,"Claire Freedman, Ben Cort (Illustrator)",Children's (Board Books),https://www.goodreads.com/book/show/871555.Aliens_Love_Underpants?ac=1&from_search=true,,
,Z373BB,Hardcover,Pride & Prejudice (Little Miss Austen),Jennifer Adams,Children's (Board Books),https://www.goodreads.com/book/show/11231465-pride-prejudice,,
,Z374BB,Hardcover,Sherlock Holmes in the Hound of the Baskervilles: A BabyLit® Sounds Primer,Jennifer Adams,Children's (Board Books),https://www.goodreads.com/book/show/17841553-sherlock-holmes-in-the-hound-of-the-baskervilles,,
,Z375BB,Hardcover,Peas on Earth,Todd H. Doodler,Children's (Board Books),https://www.goodreads.com/book/show/12676022-peas-on-earth?ac=1&from_search=true,,
,Z376BB,Hardcover,The Very Hungry Caterpillar,Eric Carle,Children's (Board Books),https://www.goodreads.com/book/show/4944.The_Very_Hungry_Caterpillar,,
,Z377BB,Hardcover,Usborne Sparkly Touchy-feely Fairies,"Fiona Watt, Stephen Cartwright (Illustrator), Glen Bird (Illustrator)",Children's (Board Books),https://www.goodreads.com/book/show/431260.Sparkly_Touchy_feely_Fairies,,
,Z378BB,Hardcover,Kindness and Caring with Belle and Cinderella,Disney Princess/Sandy Creek,Children's (Board Books),,,
,Z379BB,Hardcover,Lamb: Farm Squeaker,Peter Haddock Publishing,Children's (Board Books),,,
,Z380BB,Hardcover,Seashore Baby,"Elise Broach, Cori Doerrfeld",Children's (Board Books),https://www.goodreads.com/book/show/7938987-seashore-baby?ac=1&from_search=true,,
,Z381BB,Hardcover,Elmer and the Rainbow,David McKee,Children's (Board Books),https://www.goodreads.com/book/show/3127635-elmer-and-the-rainbow?ac=1&from_search=true,,
,Z382BB,Hardcover,Furry Friends: Flip-a-Face,SAMI (Illustrations),Children's (Board Books),https://www.goodreads.com/book/show/6442844-furry-friends?ac=1&from_search=true,,
,Z383BB,Hardcover,Touch and Feel Fairy Tales the Gingerbread Man (Ladybird Tales),Ladybird,Children's (Board Books),,,
,Z384BB,Hardcover,Touch and Feel Fairy Tales Little Red Riding Hood (Ladybird Tales),Ladybird,Children's (Board Books),,,
,Z385BB,Hardcover,Touch and Feel Fairy Tales Goldilocks and the Three Bears (Ladybird Tales),Ladybird,Children's (Board Books),,,
,Z386BB,Hardcover,Touch And Feel Fairy Tales Jack And The Beanstalk (Ladybird Tales),Ladybird,Children's (Board Books),,,
,Z387BB,Hardcover,Touch And Feel Fairy Tales The Enormous Turnip (Ladybird Tales),Ladybird,Children's (Board Books),,,
,Z388BB,Hardcover,"Eyes & Nose, Fingers & Toes",Sesame Workshop,Children's (Board Books),https://www.goodreads.com/book/show/3208379-eyes-nose-fingers-toes?ac=1&from_search=true,,
,Z389BB,Hardcover,Nighty-Night,Sesame Workshop,Children's (Board Books),https://www.goodreads.com/book/show/3169886-nighty-night,,
,Z390BB,Hardcover,"Bubbles, Bubbles",Sesame Workshop,Children's (Board Books),https://www.goodreads.com/book/show/1975452.Bubbles_Bubbles,,
,Z391BB,Hardcover,At the Zoo,Sesame Workshop,Children's (Board Books),https://www.goodreads.com/book/show/11854475-at-the-zoo,,
,Z392BB,Hardcover,Cookie's Guessing Game About Food,Sesame Workshop,Children's (Board Books),https://www.goodreads.com/book/show/7016935-cookie-s-guessing-game-about-food?ac=1&from_search=true,,
,Z393BB,Hardcover,Grover's Guessing Game About Animals,Sesame Workshop,Children's (Board Books),https://www.goodreads.com/book/show/18706176-grover-s-guessing-game-about-animals,,
,Z394BB,Hardcover,"Numbers, Colours, Shapes",Roger Priddy,Children's (Board Books),https://www.goodreads.com/book/show/13140562-numbers-colours-shapes?ac=1&from_search=true,,
,Z395BB,Hardcover,Little Blue and Little Yellow,Leo Lionni,Children's (Board Books),https://www.goodreads.com/book/show/183524.Little_Blue_and_Little_Yellow?ac=1&from_search=true,,
,Z396BB,Hardcover,Colors,Scholastic,Children's (Board Books),,,
,Z397BB,Hardcover,Colours,Roger Priddy,Children's (Board Books),https://www.goodreads.com/book/show/8958123-colours?ac=1&from_search=true,,
,Z398BB,Hardcover,Baby's First Sounds,WS Publishing,Children's (Board Books),https://www.goodreads.com/book/show/13605219-baby-s-first-sounds?ac=1&from_search=true,,
,Z399BB,Hardcover,First Words (Usborne Look And Say),Felicity Brooks,Children's (Board Books),https://www.goodreads.com/book/show/13141673-first-words?ac=1&from_search=true,,
,Z400BB,Hardcover,Rainbow Rob,Roger Priddy,Children's (Board Books),https://www.goodreads.com/book/show/549866.Rainbow_Rob,,
,Z401BB,Hardcover,"Brown Bear, Brown Bear, What Do You See? Slide and Find (Bill Martin's Bears #1)","Bill Martin Jr., Eric Carle",Children's (Board Books),https://www.goodreads.com/book/show/7966795-brown-bear-brown-bear-what-do-you-see-slide-and-find,,
,Z402BB,Hardcover,Princesses,"Fiona Watt, Elena Temporin (Illustrator)",Children's (Board Books),https://www.goodreads.com/book/show/2621005-princesses,,
,Z403BB,Hardcover,Little Fish (Touch & Explore),Caterpillar Books,Children's (Board Books),,,
,Z404BB,Hardcover,Little Reindeer (Touch and Explore),Caterpillar Books,Children's (Board Books),,,
,Z405BB,Hardcover,Shape Sorters: Patterns,Sam Lloyd,Children's (Board Books),https://www.goodreads.com/book/show/11324691-shape-sorters?ac=1&from_search=true,,
,Z406BB,Hardcover,Cow Says Moo: A noisy touch-and-feel farm book,"Libby Walden, Amanda Enright (Illustrator)",Children's (Board Books),https://www.goodreads.com/book/show/36287505-cow-says-moo?from_search=true,,
,Z407BB,Hardcover,"Good Night, Little Bear: A Sleepy-Time Tale",Veronica Vasylenko,Children's (Board Books),https://www.goodreads.com/book/show/22487986-good-night-little-bear?from_search=true,,
,Z408BB,Hardcover,Busy Books: Busy Funfair,Rebecca Finn,Children's (Board Books),https://www.goodreads.com/book/show/12390776-busy-books?ac=1&from_search=true,,
,Z409BB,Hardcover,Tails,Matthew Van Fleet,Children's (Board Books),https://www.goodreads.com/book/show/880488.Tails?ac=1&from_search=true,,
,Z410BB,Hardcover,Museum Shapes,Gisela Voss,Children's (Board Books),https://www.goodreads.com/book/show/2542254.Museum_Shapes?ac=1&from_search=true,,
,Z411BB,Hardcover,You Are My Sunshine,"Jimmie Davis, Caroline Jayne Church (Illustrator)",Children's (Board Books),https://www.goodreads.com/book/show/9617764-you-are-my-sunshine?ac=1&from_search=true,,
,Z412BB,Hardcover,Embossed Board Books: Colours (Bumpy Books),Emily Bolam,Children's (Board Books),https://www.goodreads.com/book/show/8251851-embossed-board-books,,
,Z413BB,Hardcover,Jane's Animal Expedition (Baby Einstein),Julie Aigner-Clark,Children's (Board Books),https://www.goodreads.com/book/show/1823736.Jane_s_Animal_Expedition?ac=1&from_search=true,,
,Z414BB,Hardcover,The Gruffalo,"Julia Donaldson, Axel Scheffler (Illustrator)",Children's (Board Books),https://www.goodreads.com/book/show/1013383.The_Gruffalo,,
,Z415BB,Hardcover,Dora's Opposites/Opuestos de Dora: In English and Spanish!,"Phoebe Beinstein, Robert Roper (Illustrator)",Children's (Board Books),https://www.goodreads.com/book/show/222014.Dora_s_Opposites_Opuestos_de_Dora?ac=1&from_search=true,,
,Z416BB,Hardcover,Count with Dora!,"Phoebe Beinstein, Thompson Brothers",Children's (Board Books),https://www.goodreads.com/book/show/129066.Count_with_Dora_?ac=1&from_search=true,,
,Z417BB,Hardcover,Elmo Says...,"Sarah Albee (Goodreads Author), Tom Leigh (Illustrator)",Children's (Board Books),https://www.goodreads.com/book/show/6539232-elmo-says?ac=1&from_search=true,,
,Z418BB,Hardcover,The Tooth Book,"Dr. Seuss, Theo LeSieg, Joe Mathieu (Illustrator)",Children's (Board Books),https://www.goodreads.com/book/show/225180.The_Tooth_Book,,
,Z426BB,Hardcover,Rain-forest Discoveries: A Giant Touch and Feel (Baby Einstein),"Julie Aigner-Clark, Nadeem Zaidi (Illustrations)",Children's (Board Books),https://www.goodreads.com/book/show/2534587.Rain_forest_Discoveries,,
,B529YA,Paperback,The Christmas Star: A Festive Story Collection,"Eva Ibbotson, Nick Maland (Illustrator), Joe Wilson (Illustrator)",Young Adult,https://www.goodreads.com/book/show/27254136-the-christmas-star?ac=1&from_search=true,,
,B531HF,Paperback,The Secret Countess,Eva Ibbotson,Historical Fiction,https://www.goodreads.com/book/show/25390484-the-secret-countess,,
,B532YA,Paperback,Girl Online,Zoe Sugg,Young Adult,https://www.goodreads.com/book/show/22510983-girl-online?from_search=true,,
,B533YA,Paperback,"Here's to You, Rachel Robinson (Best Friends)",Judy Blume,Young Adult,https://www.goodreads.com/book/show/37761.Here_s_to_You_Rachel_Robinson?ac=1&from_search=true,,
,B534FN,Paperback,The Versions of Us,Laura Barnett,Fiction,https://www.goodreads.com/book/show/24480276-the-versions-of-us?ac=1&from_search=true,,
,B535HF,Paperback,The Morning Gift,Eva Ibbotson,Historical Fiction,https://www.goodreads.com/book/show/25262210-the-morning-gift,,
,B536YA,Paperback,The Improbable Theory of Ana and Zak,Brian Katcher,Young Adult,https://www.goodreads.com/book/show/23015962-the-improbable-theory-of-ana-and-zak?ac=1&from_search=true,,
,T306C3,Paperback,The Boy's Body Book,"Kelli Dunham , R.N.",Children's (Non-Fiction),https://www.goodreads.com/book/show/24452251-the-boy-s-body-book,,
,Z419C1,Hardcover,Fat Cat on a Mat and Other Tales,"Phil Roxbee Cox, Stephen Cartwright (Illustrator)",Children's (3-5 yrs),https://www.goodreads.com/book/show/10095051-fat-cat-on-a-mat-and-other-tales?ac=1&from_search=true,,
,Z420C1,Hardcover,Geoffrey and the Giant,Kate Thomson,Children's (3-5 yrs),https://www.goodreads.com/book/show/14498974-geoffrey-and-the-giant?ac=1&from_search=true,,
,Z423C1,Hardcover,Frozen Read-Along Storybook,"Walt Disney Company, Al Giuliani (Design)",Children's (3-5 yrs),https://www.goodreads.com/book/show/17693742-frozen-read-along-storybook-and-cd?ac=1&from_search=true,,
,Z424C1,Hardcover,Ladybird Stories for 4 Year Olds,Ladybird Books,Children's (3-5 yrs),https://www.goodreads.com/book/show/17120000-ladybird-stories-for-4-year-olds?ac=1&from_search=true,,
,Z425C1,Hardcover,Chicken Licken: Ladybird First Favourite Tales,Mandy Ross,Children's (3-5 yrs),https://www.goodreads.com/book/show/21343654-chicken-licken?from_search=true,,
,Z427C1,Paperback,Delivery Man Stan,Diane and Christyan Fox,Children's (3-5 yrs),https://www.goodreads.com/book/show/14846192-delivery-man-stan-diane-fox,,
,Z428C1,Hardcover,"Pickles, Please!: A Dilly of a Book",Andy Myer,Children's (3-5 yrs),https://www.goodreads.com/book/show/11861392-pickles-please?ac=1&from_search=true,,
,Z429C1,Hardcover,How Rocket Learned to Read,Tad Hills,Children's (3-5 yrs),https://www.goodreads.com/book/show/7622249-how-rocket-learned-to-read?ac=1&from_search=true,,
,Z430C1,Hardcover,A Child of Books,"Oliver Jeffers, Sam Winston",Children's (3-5 yrs),https://www.goodreads.com/book/show/28686931-a-child-of-books?ac=1&from_search=true,,
,Z431C1,Hardcover,The Book with No Pictures,B.J. Novak,Children's (3-5 yrs),https://www.goodreads.com/book/show/20821299-the-book-with-no-pictures?ac=1&from_search=true,,
,Z432C1,Paperback,Ten Apples Up On Top!,"Dr. Seuss, Roy McKie (Illustrator), Theo LeSieg (Pseudonym)",Children's (3-5 yrs),https://www.goodreads.com/book/show/7797.Ten_Apples_Up_On_Top_?ac=1&from_search=true,,
,Z433C1,Hardcover,"Guess Who, Doc! (Doc McStuffins)",Walt Disney Company,Children's (3-5 yrs),https://www.goodreads.com/book/show/18051094-guess-who-doc?ac=1&from_search=true,,
,Z434C1,Hardcover,Frozen: Magical Story,"Parragon Publishing, Walt Disney Company",Children's (3-5 yrs),https://www.goodreads.com/book/show/21033960-frozen?ac=1&from_search=true,,
,Z435C1,Hardcover,The Day the Crayons Quit,"Drew Daywalt, Oliver Jeffers (Illustrations)",Children's (3-5 yrs),https://www.goodreads.com/book/show/16101018-the-day-the-crayons-quit?ac=1&from_search=true,,
,Z436C1,Hardcover,The Day the Crayons Came Home,"Drew Daywalt, Oliver Jeffers (Illustrations)",Children's (3-5 yrs),https://www.goodreads.com/book/show/23310161-the-day-the-crayons-came-home,,
,Z437C1,Paperback,Stuck,Oliver Jeffers,Children's (3-5 yrs),https://www.goodreads.com/book/show/11211540-stuck,,
,Z438C1,Paperback,Lost and Found ( The Boy #2),Oliver Jeffers,Children's (3-5 yrs),https://www.goodreads.com/book/show/301141.Lost_and_Found,,
,Z439C1,Paperback,How To Catch A Star ( The Boy #1),Oliver Jeffers,Children's (3-5 yrs),https://www.goodreads.com/book/show/425818.How_to_Catch_a_Star,,
,Z440C1,Paperback,Up and Down ( The Boy #4),Oliver Jeffers,Children's (3-5 yrs),https://www.goodreads.com/book/show/8493424-up-and-down,,
,Z441C1,Paperback,The Incredible Book Eating Boy,Oliver Jeffers,Children's (3-5 yrs),https://www.goodreads.com/book/show/819910.The_Incredible_Book_Eating_Boy,,
,Z442C1,Hardcover,Two Sparkling Hearts (Snow White: Disney Princess Little Stories),Walt Disney Company,Children's (3-5 yrs),https://www.goodreads.com/book/show/3246769-two-sparkling-hearts?ac=1&from_search=true,,
,Z443C1,Hardcover,"Get Well Soon, Adam (Helping Hand Books)","Sarah Ferguson, Ian Cunliffe (Illustrator)",Children's (3-5 yrs),https://www.goodreads.com/book/show/12335740-get-well-soon-adam?ac=1&from_search=true,,
,Z444C1,Paperback,Caillou: New Shoes,"Marion Johnson (Illustrations), Eric Sevigny (Illustrator)",Children's (3-5 yrs),https://www.goodreads.com/book/show/2829812-caillou?ac=1&from_search=true,,
,Z445C1,Paperback,Elmo's Learning Adventure Animal Alphabet,"Kara McMahon (Author),‎ Christopher Moroney (Colorist)",Children's (3-5 yrs),https://www.goodreads.com/book/show/17796759-elmo-s-learning-adventure-animal-alphabet?ac=1&from_search=true,,
,Z446C1,Paperback,The Birthday Dance Party: Daisy's Fiesta de Quinceañera,"Alison Inches, Dave Aikins",Children's (3-5 yrs),https://www.goodreads.com/book/show/729305.The_Birthday_Dance_Party?ac=1&from_search=true,,
,Z447C1,Paperback,"Milly, Molly and What Was That?","Gill Pittar, Cris Morrell (Illustrator)",Children's (3-5 yrs),https://www.goodreads.com/book/show/14937650-milly-molly-and-what-was-that?ac=1&from_search=true,,
,Z448C1,Paperback,Milly and Molly Go Camping,"Gill Pittar, Cris Morrell (Illustrator)",Children's (3-5 yrs),https://www.goodreads.com/book/show/3355003-milly-and-molly-go-camping?ac=1&from_search=true,,
,Z450C1,Paperback,The Beauty of Nature (Disney Princess),"Andrea Posner-Sanchez, Elisa Marrucchi (Illustrator)",Children's (3-5 yrs),https://www.goodreads.com/book/show/9379123-the-beauty-of-nature?ac=1&from_search=true,,
,Z451C1,Paperback,Chloe the Caterpillar: 10 Minute Tales (Guess with Jess),Egmont Books,Children's (3-5 yrs),https://www.goodreads.com/book/show/21339794-chloe-the-caterpillar?ac=1&from_search=true,,
,Z452C1,Paperback,Charlie and Lola: I Completely Love Winter: Two extremely good stories (Charlie & Lola),Lauren Child,Children's (3-5 yrs),https://www.goodreads.com/book/show/21392294-charlie-and-lola?ac=1&from_search=true,,
,Z453C1,Paperback,Big Bad Wolf is Good,"Simon Puttock (Goodreads Author), Lynne Chapman (Illustrations)",Children's (3-5 yrs),https://www.goodreads.com/book/show/542810.Big_Bad_Wolf_is_Good?ac=1&from_search=true,,
,Z454C1,Paperback,Big Yang And Little Yin,Angela McAllister,Children's (3-5 yrs),https://www.goodreads.com/book/show/2563414-big-yang-and-little-yin?ac=1&from_search=true,,
,Z455C1,Paperback,An Itch To Scratch,"Damian Harvey (Goodreads Author), Lynne Chapman (Illustrator)",Children's (3-5 yrs),https://www.goodreads.com/book/show/21267581-an-itch-to-scratch,,
,Z457C1,Paperback,Marshall Armstrong Is New to Our School,David Mackintosh,Children's (3-5 yrs),https://www.goodreads.com/book/show/12277056-marshall-armstrong-is-new-to-our-school,,
,Z458C1,Hardcover,Mother Bruce,Ryan T. Higgins,Children's (3-5 yrs),https://www.goodreads.com/book/show/25745002-mother-bruce?ac=1&from_search=true,,
,Z459C1,Paperback,Box of Tricks,Katie Cleminson,Children's (3-5 yrs),,,
,Z460C1,Paperback,Mister Seahorse,Eric Carle,Children's (3-5 yrs),https://www.goodreads.com/book/show/631931.Mister_Seahorse?ac=1&from_search=true,,
,Z461C1,Paperback,"Maisy, Charley And The Wobbly Tooth",Lucy Cousins,Children's (3-5 yrs),https://www.goodreads.com/book/show/2392980.Maisy_Charley_And_The_Wobbly_Tooth?ac=1&from_search=true,,
,Z462C1,Paperback,Oscar and the Frog: A Book About Growing,Geoff Waring,Children's (3-5 yrs),https://www.goodreads.com/book/show/2439637.Oscar_and_the_Frog?ac=1&from_search=true,,
,Z463C1,Paperback,The Hueys in... It Wasn't Me,Oliver Jeffers,Children's (3-5 yrs),https://www.goodreads.com/book/show/16101012-the-hueys-in-it-wasn-t-me?ac=1&from_search=true,,
,Z464C1,Hardcover,Little Treasures: Endearments from Around the World,"Jacqueline K. Ogburn (Goodreads Author), Chris Raschka (Illustrator)",Children's (3-5 yrs),https://www.goodreads.com/book/show/11343631-little-treasures?ac=1&from_search=true,,
,Z465C1,Paperback,Where The Wild Things Are,Maurice Sendak,Children's (3-5 yrs),https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are?ac=1&from_search=true,,
